Can I Register to Vote?,Statute,Name,Description
NO, 18.2-58(B)(1),Robbery causes serious bodily injury,"Taking, with intent to steal, the personal property of another , from his person or in his presence, against his will, by violence or intimidation and causes serious bodily injury"
NO, 18.2-58(b)(1),Robbery causes death,"Taking, with intent to steal, the person property of another , from his person or in his presence, against his will, by violence or intimidation and causes serious bodily injury"
NO, 18.2-58(B)(2),Robbery by using or displaying a firearm,"Taking, with intent to steal, the personal property of another , from his person or in his presence, against his will, by using or displaying a firearm in a threatening manner"
NO, 18.2-58(B)(3),Robbery by using or displaying a deadly weapon,"Taking, with intent to steal, the personal property of another , from his person or in his presence, against his will, by using or displaying a deadly weapon other than a firearm in a threatening manner"
NO, 18.2-58(B)(3),"Robbery by using physical force, no serious bodily injury","Taking, with intent to steal, the personal property of another , from his person or in his presence, against his will, by using physical force and does not result in serious bodily injury"
NO, 18.2-58(B)(4),Robbery by threat or intimidation,"Taking, with intent to steal, the personal property of another , from his person or in his presence, against his will, by threat or intimidation or a means not involving a deadly weapon"
NO,18.2-61,Rape,Forcible rape - type not clear from record
NO,18.2-61,Rape,Forcible intercourse
NO,"18.2-61(A,i)",Rape,"Intercourse with victim by force, threat or intimidation"
NO,"18.2-61(A,iii)",Rape,Forcible intercourse with victim under age 13
NO,"18.2-61(A,iii)",Rape,"Rape victim under age 13 w/ kidnap, burglary, wounding"
NO,"18.2-61(A,iii)",Rape,Intercourse with victim under age 13 (indicated as an adult)
NO,18.2-67.1,Sodomy,Forcible sodomy - Type not clear from record
NO," 18.2-67.1(A,1)",Sodomy,Sodomy victim under age 13 (indicated as an adult)
NO," 18.2-67.1(A,1)",Sodomy,"Forcible sodomy victim <13 w/ kidnapping, burglary, wounding"
NO,"18.2-67.1(A,1)",Sodomy,"Forcible sodomy, victim under age 13"
NO," 18.2-67.1(A,2)",Sodomy,"Forcible sodomy, by force, threat, etc. , victim age 13+"
NO,18.2-67.1(A),Sodomy,"Forcible sodomy of spouse by force, threat, etc."
NO, 18.2-89,Burglary,Burglary dwelling at night; commit larceny etc. w/ deadly weapon
NO,18.2-89,Burglary,"Burglary dwelling at night to commit larceny, other felony"
NO,18.2-90,Burglary,"Stat. Burglary of structure to murder, etc. w/deadly weapon"
NO,18.2-90,Burglary,"Stat. Burglary of dwelling to murder, rape, rob, arson"
NO,18.2-90,Burglary,"Stat. Burglary of dwelling to murder, etc. w/deadly weapon"
NO,18.2-90,Burglary,"Stat. Burglary of structure to murder, rape, rob, arson"
NO,18.2-91,Burglary,"Stat. Burglary of structure to commit larceny, etc."
NO,18.2-91,Burglary,Stat. Burglary of dwelling to commit other felonyor A&B
NO,18.2-91,Burglary,Stat. Burglary dwelling; commit other felony orA&B w/ deadly weapon
NO,18.2-91,Burglary,Stat. burglary of structure commit larceny etc. w/deadly weapon
NO,"18.2-95(A,i)",Grand Larceny,Grand Larceny - $5 or more from person
NO,"18.2-95(a,ii)",Grand larceny,Grand larceny - Auto theft
NO,"18.2-95(A,ii)",Grand larceny,Grand larceny - $1000 or more not from person
NO,"18.2-95(A,iii)",Larceny,"Larceny of firearms, regardless of value, not fromperson"
NO,18.2-95(ii),Grand larceny,Grand larceny - $500 or more not from person
NO,18.2-95(iii),Grand larceny,Grand larceny - $200 or more not from person
NO,18.2-97,Larceny,Larceny of animals and poultry worth less than $1000
NO,18.2-97,Larceny,Larceny of animals and poultry worth less than $500
NO,18.2-97,Larceny,Larceny of animals and poultry worth less than $200
NO,18.2-97,Larceny,"Larceny of animals (dogs, horse, pony, mule, cow, steer, etc. )"
NO,18.2-98,Larceny,"Larceny of bank notes, checks, etc. , worth $200 ormore"
NO,18.2-98,Larceny,"Larceny of bank notes, checks, etc. , worth $1000 or more"
NO,18.2-98,Larceny,"Larceny of bank notes, checks, etc. , worth $500 ormore"
NO,28.2-527,"Theft of oysters, clams, shells etc. >= $500","Theft of oysters, clams, shells, etc. >= $500"
NO,28.2-527,"Theft of oysters, clams, shells etc. >= $200","Theft of oysters, clams, shells, etc. >= $200"
NO,28.2-527,"Theft of oysters, clams, shells etc. >= $1000","Theft of oysters, clams, shells etc. >= $1000"
NO,28.2-560,Larceny from oyster planting ground >= $500,Larceny from oyster planting ground >= $500
NO,28.2-560,Larceny from oyster planting ground >= $1000,Larceny from oyster planting ground >= $1000
NO,28.2-560,Larceny from oyster planting ground >= $200,Larceny from oyster planting ground >= $200
NO,"46.2-865.1(A,2)",Cause death of another byracing,Cause death of another by racing
NO,"46.2-865.1(A,2)",Cause death of another byracing/exhibition driving,Cause death of another by racing/exhibitiondriving
NO,46.2-868(B),Reckless driving,Reckless driving causes death of another
NO,46.2-868(B),"Reckless driving, licensesuspended/revoked, causesdeath","Reckless driving, license suspended/revoked, causes death"
NO,5.1-203(8),Prisoner - burn or destroy withexplosive any property,Prisoner - burn or destroy with explosive anyproperty
NO,55-334.1,Larceny of timber valued at $200 or more,Larceny of timber valued at $200 or more
NO,55-334.1,Larceny of timber valued at $500 or more,Larceny of timber valued at $500 or more
NO,55.1-2838,Larceny of timber valued at $500 or more,Larceny of timber valued at $500 or more
NO,55.1-334.1,Larceny of timber valued at $1000 or more,Larceny of timber valued at $1000 or more
NO,58.1-4014(C),"Steal, convert lottery ticket valued at $200 or more","Steal, convert lottery ticket valued at $200 ormore"
NO,58.1-4018.1(A),Larceny of lottery ticket (s) $1000 or more,Larceny of lottery ticket (s) $1000 or more
NO,58.1-4018.1(A),Larceny of lottery ticket (s) $500 or more,Larceny of lottery ticket (s) $500 or more
NO,58.1-4018(A),Larceny of lottery ticket (s) $200 or more,Larceny of lottery ticket (s) $200 or more
YES with Additional Evaluation,18.2-108.1(1),Larceny of firearm,"Larceny of firearm, not from person"
YES with Additional Evaluation,18.2-23(B),Conspire to commit larceny >= $500,Conspire with another to commit or assist in the performance of larceny where the value of goods is over $200
YES with Additional Evaluation,18.2-23(B),Conspiracy to commit larceny >= $1000,Conspire with another to commit or assist in the performance of larceny where the value of goods is $1000 or more
YES with Additional Evaluation,18.2-23(B),Conspire to commit larceny with value >= $500,"Conspire to commit/assist in larceny, aggregate >= $500"
YES with Additional Evaluation,18.2-279,Discharging firearms or missiles within or at building or dwelling house,"Unlawfully discharge firearm, missile in/at occupied building"
YES with Additional Evaluation,18.2-279,Discharging firearms or missiles within or at building or dwelling house,"Maliciously discharge firearm, missile in/at occupied building"
YES with Additional Evaluation,18.2-279,Discharging firearms or missiles within or at building or dwelling house,"Discharge firearm, within or at occupied school"
YES with Additional Evaluation,18.2-280(A),Willfully discharging firearms in public places,"Discharge firearm in public place, results in injury"
YES with Additional Evaluation,"18.2-346(B,i)","Prostitution, commercial sexual conduct",Solicitation of prostitution from minor age 16 or older
YES with Additional Evaluation,"18.2-346(B,ii)","Prostitution, commercial sexual conduct",Solicitation of prostitution from minor less than age 16
YES with Additional Evaluation,18.2-346.01(i),Prostitution; solicitation; commercial exploitation of a minor,Solicitation of prostitution from minor age 16 or older
YES with Additional Evaluation,18.2-346.01(ii),Prostitution; solicitation; commercial exploitation of a minor,Solicitation of prostitution from minor less than age 16
YES with Additional Evaluation,18.2-355,"Taking, detaining, etc. , person for prostitution, etc. or consenting thereto, human trafficking","Minor, take, etc. for prostitution"
YES with Additional Evaluation,18.2-355(1),"Taking, detaining, etc. , person for prostitution, etc. , or consenting thereto; human","Prostitution - enticement, procurement"
YES with Additional Evaluation,18.2-355(3),"Taking, detaining, etc. , person for prostitution, etc. , or consenting thereto; human trafficking","Parent consents for child to be taken for prostitution, etc."
YES with Additional Evaluation,18.2-355(4),"Taking, detaining, etc. , person for prostitution, etc. , or consenting thereto; Human trafficking",Pandering a minor
YES with Additional Evaluation,18.2-370,Taking indecent libertieswith children,Take indecent liberties with child (2 nd or subsequent )
YES with Additional Evaluation,18.2-370,Taking indecent libertieswith children,Take indecent liberties with child
YES with Additional Evaluation,18.2-370(A),Taking indecent libertieswith children,Indecent liberties with child under age15
YES with Additional Evaluation,18.2-370(A),Taking indecent libertieswith children,Take indecent liberties with child w/child under age 14
YES with Additional Evaluation,18.2-370(C),Taking indecent libertieswith children,Take indecent liberties with child (2 nd or subsequent )
YES with Additional Evaluation,"18.2-370(D,i)",Taking indecent libertieswith children,"Indecent liberties, parent/grandparent, etc. , child age 15-17"
YES with Additional Evaluation,18.2-371.1(A),Abuse and neglect of children,"Child abuse and neglect, serious injury"
YES with Additional Evaluation,"18.2-374.1(B,1)","Production, publication, sale, financing, etc. of child pornography","Entice minor to perform porn, age 15+, offender 7+ years"
YES with Additional Evaluation,"18.2-374.1(B,1)","Production, publication, sale, financing, etc. of child pornography",Accost/entice minor to perform insexually explicit material
YES with Additional Evaluation,"18.2-374.1(B,1)","Production, publication, sale, financing, etc. , of child pornography","Entice minor to perform porn, age 15+, offender 7+ years, 2 nd"
YES with Additional Evaluation,"18.2-374.1(B,1)","Production, publication, sale, financing, etc. , of child pornography",Entire minor to perform porn
YES with Additional Evaluation,"18.2-374.1(B,1)","Production, publication, sale, financing, etc. , of child pornography",Entice minor to perform porn age
YES with Additional Evaluation,"18.2-374.1(B,1)","Production, publication, sale, financing, etc. , of child pornography","Entire minor to perform in porn, age <15"
YES with Additional Evaluation,"18.2-374.1(B,2)","Production, publication, sale, financing, etc. , of child pornography",Produce obscene material involvingminor
YES with Additional Evaluation,"18.2-374.1(B,2)","Production, publication, sale, financing, etc. , of child pornography",Produce obscene materials involvingminor
YES with Additional Evaluation,"18.2-374.1(B,2)","Production, publication, sale, financing, etc. , of child pornography","Produce, making child porn, age 15+, offender 7+ yrs, 2 nd"
YES with Additional Evaluation,"18.2-374.1(B,2)","Production, publication, sale, financing, etc. , of child pornography","Produce, make child porn, age 15+, offender 7+ yrs"
